country_,gdp_mean,gdp_sum,biofuel_cons_change_pct_mean,biofuel_cons_change_pct_sum,biofuel_share_elec_mean,biofuel_share_elec_sum,biofuel_share_energy_mean,biofuel_share_energy_sum,hydro_cons_change_pct_mean,hydro_cons_change_pct_sum,hydro_share_elec_mean,hydro_share_elec_sum,hydro_share_energy_mean,hydro_share_energy_sum,nuclear_cons_change_pct_mean,nuclear_cons_change_pct_sum,nuclear_share_elec_mean,nuclear_share_elec_sum,nuclear_share_energy_mean,nuclear_share_energy_sum,solar_cons_change_pct_mean,solar_cons_change_pct_sum,solar_share_elec_mean,solar_share_elec_sum,solar_share_energy_mean,solar_share_energy_sum,wind_cons_change_pct_mean,wind_cons_change_pct_sum,wind_share_elec_mean,wind_share_elec_sum,wind_share_energy_mean,wind_share_energy_sum,fossil_cons_change_pct_mean,fossil_cons_change_pct_sum,fossil_share_energy_mean,fossil_share_energy_sum,fossil_share_elec_mean,fossil_share_elec_sum,renewables_cons_change_pct_mean,renewables_cons_change_pct_sum,renewables_share_energy_mean,renewables_share_energy_sum,renewables_share_elec_mean,renewables_share_elec_sum
Cayman Islands,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,2.5085,10.034,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,97.4915,389.966,,0.0,,0.0,2.5085,10.034
Central African Republic,3581982464.0,14327929856.0,,0.0,0.0,0.0,,0.0,,0.0,100.0,400.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,100.0,400.0
Chad,31212918784.0,156064593920.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,3.2918,16.459,,0.0,,0.0,,0.0,96.7082,483.541,,0.0,,0.0,3.2918,16.459
Chile,412834000000.0,2064170000000.0,,0.0,,0.0,,0.0,1.7886000000000002,8.943000000000001,25.654000000000003,128.27,11.922,59.61,,0.0,0.0,0.0,0.0,0.0,30.1972,150.986,11.171600000000002,55.858000000000004,4.8802,24.401,21.756,108.78,7.607000000000001,38.035000000000004,3.435,17.175,0.6122000000000002,3.061000000000001,74.7748,373.874,55.205200000000005,276.026,7.9033999999999995,39.516999999999996,25.2252,126.126,44.7948,223.97400000000002
China,18151620214784.0,90758101073920.0,3.3088000000000006,16.544000000000004,1.7060000000000002,8.530000000000001,0.06939999999999999,0.347,2.3016,11.508000000000001,16.243000000000002,81.215,8.0776,40.388,11.1864,55.932,4.6156,23.078,2.212,11.06,29.879200000000004,149.39600000000002,3.4942,17.471,1.7616,8.808,20.5738,102.869,6.6768,33.384,3.3058,16.529,2.7938,13.969,83.5344,417.672,67.2638,336.319,9.774000000000001,48.870000000000005,14.2536,71.268,28.1204,140.602
Colombia,651901000000.0,3259505000000.0,5.298,26.490000000000002,1.4538,7.269,1.629,8.145,2.839800000000001,14.199000000000005,70.11600000000001,350.58000000000004,26.589199999999998,132.946,,0.0,0.0,0.0,0.0,0.0,261.9736,1309.868,0.2826,1.413,0.1056,0.528,359.4872,1797.436,0.0596,0.298,0.023200000000000002,0.116,2.1176,10.588,70.1468,350.734,28.088,140.44,3.3456,16.728,29.853199999999998,149.266,71.912,359.56
Comoros,1416032128.0,5664128512.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,100.0,400.0,,0.0,,0.0,0.0,0.0
Congo,29513590784.0,147567953920.0,,0.0,1.8064,9.032,,0.0,,0.0,25.6398,128.199,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,72.5538,362.769,,0.0,,0.0,27.446199999999997,137.231
Cook Islands,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,32.5,130.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,67.5,270.0,,0.0,,0.0,32.5,130.0
Costa Rica,73336987648.0,366684938240.0,,0.0,0.26999999999999996,1.3499999999999999,,0.0,,0.0,71.4692,357.346,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.5704,2.852,,0.0,,0.0,13.407599999999999,67.038,,0.0,,0.0,,0.0,1.9506000000000001,9.753,,0.0,,0.0,98.0494,490.247
